year,soc_name,soc,num_ppl,num_ppl_moe,wage_bin_name,wage_bin
2014,"General & operations managers","111021",11237,2273.57,"< 10K","A"
2014,"General & operations managers","111021",23758,2939.55,"$10-20K","B"
2014,"General & operations managers","111021",52875,5167.49,"$20-30K","C"
2014,"General & operations managers","111021",86111,6206.51,"$30-40K","D"
2014,"General & operations managers","111021",97834,7053.8,"$40-50K","E"
2014,"General & operations managers","111021",92538,5383.98,"$50-60K","F"
2014,"General & operations managers","111021",85021,5769.0,"$60-70K","G"
2014,"General & operations managers","111021",65140,5306.64,"$70-80K","H"
2014,"General & operations managers","111021",55871,5280.58,"$80-90K","I"
2014,"General & operations managers","111021",41565,4341.13,"$90-100K","J"
2014,"General & operations managers","111021",43346,3991.67,"$100K-110","K"
2014,"General & operations managers","111021",20316,2581.94,"$110-120","L"
2014,"General & operations managers","111021",30456,3336.48,"$120-130","M"
2014,"General & operations managers","111021",16132,2553.71,"$130-140","N"
2014,"General & operations managers","111021",13082,2359.71,"$140-150","O"
2014,"General & operations managers","111021",13838,2159.81,"$150-160","P"
2014,"General & operations managers","111021",6251,1331.32,"$160-170","Q"
2014,"General & operations managers","111021",9290,2072.35,"$170-180","R"
2014,"General & operations managers","111021",6198,1383.64,"$180-190","S"
2014,"General & operations managers","111021",3790,1150.52,"$190-200K","T"
2014,"General & operations managers","111021",45514,3746.11,"$200K+","U"
2014,"Compensation & benefits managers","113111",98,156.995,"< 10K","A"
2014,"Compensation & benefits managers","113111",279,292.199,"$10-20K","B"
2014,"Compensation & benefits managers","113111",200,179.134,"$20-30K","C"
2014,"Compensation & benefits managers","113111",1507,678.32,"$30-40K","D"
2014,"Compensation & benefits managers","113111",864,442.324,"$40-50K","E"
2014,"Compensation & benefits managers","113111",2271,1031.04,"$50-60K","F"
2014,"Compensation & benefits managers","113111",1124,650.921,"$60-70K","G"
2014,"Compensation & benefits managers","113111",1615,821.33,"$70-80K","H"
2014,"Compensation & benefits managers","113111",1294,608.847,"$80-90K","I"
2014,"Compensation & benefits managers","113111",784,413.52,"$90-100K","J"
2014,"Compensation & benefits managers","113111",1907,968.577,"$100K-110","K"
2014,"Compensation & benefits managers","113111",254,251.847,"$110-120","L"
2014,"Compensation & benefits managers","113111",447,306.658,"$120-130","M"
2014,"Compensation & benefits managers","113111",241,209.058,"$130-140","N"
2014,"Compensation & benefits managers","113111",226,224.53,"$140-150","O"
2014,"Compensation & benefits managers","113111",166,155.63,"$150-160","P"
2014,"Compensation & benefits managers","113111",145,192.586,"$160-170","Q"
2014,"Compensation & benefits managers","113111",338,306.75,"$180-190","S"
2014,"Compensation & benefits managers","113111",62,100.043,"$190-200K","T"
2014,"Compensation & benefits managers","113111",1184,770.982,"$200K+","U"
2014,"Human resources managers","113121",9387,1750.59,"< 10K","A"
2014,"Human resources managers","113121",14427,2230.67,"$10-20K","B"
2014,"Human resources managers","113121",24908,3024.14,"$20-30K","C"
2014,"Human resources managers","113121",35946,3800.6,"$30-40K","D"
2014,"Human resources managers","113121",40767,4040.92,"$40-50K","E"
2014,"Human resources managers","113121",33051,3833.21,"$50-60K","F"
2014,"Human resources managers","113121",36990,3740.26,"$60-70K","G"
2014,"Human resources managers","113121",29789,3561.32,"$70-80K","H"
2014,"Human resources managers","113121",28092,3137.5,"$80-90K","I"
2014,"Human resources managers","113121",22455,2505.92,"$90-100K","J"
2014,"Human resources managers","113121",23491,3492.21,"$100K-110","K"
2014,"Human resources managers","113121",12246,2047.25,"$110-120","L"
2014,"Human resources managers","113121",11863,1767.07,"$120-130","M"
2014,"Human resources managers","113121",9379,1776.82,"$130-140","N"
2014,"Human resources managers","113121",5775,1491.4,"$140-150","O"
2014,"Human resources managers","113121",7454,2004.62,"$150-160","P"
2014,"Human resources managers","113121",3759,1190.23,"$160-170","Q"
2014,"Human resources managers","113121",3414,969.999,"$170-180","R"
2014,"Human resources managers","113121",2649,1101.72,"$180-190","S"
2014,"Human resources managers","113121",265,287.404,"$190-200K","T"
2014,"Human resources managers","113121",14645,2029.64,"$200K+","U"
2014,"Training & development managers","113131",2925,1386.06,"< 10K","A"
2014,"Training & development managers","113131",2450,1232.7,"$10-20K","B"
2014,"Training & development managers","113131",2476,852.179,"$20-30K","C"
2014,"Training & development managers","113131",5847,1698.11,"$30-40K","D"
2014,"Training & development managers","113131",5299,1581.52,"$40-50K","E"
2014,"Training & development managers","113131",5625,1283.97,"$50-60K","F"
2014,"Training & development managers","113131",3903,1070.88,"$60-70K","G"
2014,"Training & development managers","113131",5606,1446.38,"$70-80K","H"
2014,"Training & development managers","113131",5353,1627.56,"$80-90K","I"
2014,"Training & development managers","113131",3536,1183.98,"$90-100K","J"
2014,"Training & development managers","113131",4235,1737.76,"$100K-110","K"
2014,"Training & development managers","113131",2048,775.048,"$110-120","L"
2014,"Training & development managers","113131",2281,734.634,"$120-130","M"
2014,"Training & development managers","113131",1918,767.863,"$130-140","N"
2014,"Training & development managers","113131",1233,597.185,"$140-150","O"
2014,"Training & development managers","113131",885,533.18,"$150-160","P"
2014,"Training & development managers","113131",535,529.519,"$160-170","Q"
2014,"Training & development managers","113131",151,195.041,"$170-180","R"
2014,"Training & development managers","113131",76,96.1122,"$180-190","S"
2014,"Training & development managers","113131",73,124.678,"$190-200K","T"
2014,"Training & development managers","113131",1859,942.235,"$200K+","U"
2014,"Emergency management directors","119161",929,501.055,"< 10K","A"
2014,"Emergency management directors","119161",130,162.09,"$10-20K","B"
2014,"Emergency management directors","119161",490,297.185,"$20-30K","C"
2014,"Emergency management directors","119161",1561,946.208,"$30-40K","D"
2014,"Emergency management directors","119161",1009,561.278,"$40-50K","E"
2014,"Emergency management directors","119161",771,451.435,"$50-60K","F"
2014,"Emergency management directors","119161",1857,839.69,"$60-70K","G"
2014,"Emergency management directors","119161",1005,486.416,"$70-80K","H"
2014,"Emergency management directors","119161",519,413.113,"$80-90K","I"
2014,"Emergency management directors","119161",784,646.108,"$90-100K","J"
2014,"Emergency management directors","119161",699,509.591,"$100K-110","K"
2014,"Emergency management directors","119161",114,136.862,"$110-120","L"
2014,"Emergency management directors","119161",32,54.6242,"$120-130","M"
2014,"Emergency management directors","119161",176,243.835,"$130-140","N"
2014,"Emergency management directors","119161",219,265.665,"$150-160","P"
2014,"Emergency management directors","119161",70,117.552,"$160-170","Q"
2014,"Emergency management directors","119161",34,63.4051,"$200K+","U"
2014,"Agents & business managers of artists, performers, & athletes","131011",2599,1113.27,"< 10K","A"
2014,"Agents & business managers of artists, performers, & athletes","131011",4635,1277.13,"$10-20K","B"
2014,"Agents & business managers of artists, performers, & athletes","131011",5052,1745.45,"$20-30K","C"
2014,"Agents & business managers of artists, performers, & athletes","131011",5013,1380.92,"$30-40K","D"
2014,"Agents & business managers of artists, performers, & athletes","131011",3818,1049.49,"$40-50K","E"
2014,"Agents & business managers of artists, performers, & athletes","131011",3563,1778.65,"$50-60K","F"
2014,"Agents & business managers of artists, performers, & athletes","131011",2928,1206.09,"$60-70K","G"
2014,"Agents & business managers of artists, performers, & athletes","131011",1848,782.929,"$70-80K","H"
2014,"Agents & business managers of artists, performers, & athletes","131011",2403,975.877,"$80-90K","I"
2014,"Agents & business managers of artists, performers, & athletes","131011",762,473.646,"$90-100K","J"
2014,"Agents & business managers of artists, performers, & athletes","131011",1497,699.546,"$100K-110","K"
2014,"Agents & business managers of artists, performers, & athletes","131011",452,293.985,"$120-130","M"
2014,"Agents & business managers of artists, performers, & athletes","131011",230,228.056,"$130-140","N"
2014,"Agents & business managers of artists, performers, & athletes","131011",191,153.115,"$140-150","O"
2014,"Agents & business managers of artists, performers, & athletes","131011",1115,600.34,"$150-160","P"
2014,"Agents & business managers of artists, performers, & athletes","131011",248,251.155,"$160-170","Q"
2014,"Agents & business managers of artists, performers, & athletes","131011",348,273.635,"$170-180","R"
2014,"Agents & business managers of artists, performers, & athletes","131011",120,196.376,"$180-190","S"
2014,"Agents & business managers of artists, performers, & athletes","131011",52,83.554,"$190-200K","T"
2014,"Agents & business managers of artists, performers, & athletes","131011",1432,710.861,"$200K+","U"
2014,"Buyers & purchasing agents, farm products","131021",559,453.62,"< 10K","A"
2014,"Buyers & purchasing agents, farm products","131021",390,347.813,"$10-20K","B"
2014,"Buyers & purchasing agents, farm products","131021",1014,636.048,"$20-30K","C"
2014,"Buyers & purchasing agents, farm products","131021",2181,1185.25,"$30-40K","D"
2014,"Buyers & purchasing agents, farm products","131021",1159,596.463,"$40-50K","E"
2014,"Buyers & purchasing agents, farm products","131021",906,674.999,"$50-60K","F"
2014,"Buyers & purchasing agents, farm products","131021",410,360.541,"$60-70K","G"
2014,"Buyers & purchasing agents, farm products","131021",496,303.862,"$70-80K","H"
2014,"Buyers & purchasing agents, farm products","131021",339,317.122,"$80-90K","I"
2014,"Buyers & purchasing agents, farm products","131021",193,167.694,"$90-100K","J"
2014,"Buyers & purchasing agents, farm products","131021",208,229.607,"$100K-110","K"
2014,"Buyers & purchasing agents, farm products","131021",302,493.798,"$160-170","Q"
2014,"Buyers & purchasing agents, farm products","131021",625,369.185,"$200K+","U"
2014,"Wholesale & retail buyers, except farm products","131022",29497,3531.68,"< 10K","A"
2014,"Wholesale & retail buyers, except farm products","131022",30614,4079.0,"$10-20K","B"
2014,"Wholesale & retail buyers, except farm products","131022",30845,2992.82,"$20-30K","C"
2014,"Wholesale & retail buyers, except farm products","131022",29002,3413.84,"$30-40K","D"
2014,"Wholesale & retail buyers, except farm products","131022",21756,3168.29,"$40-50K","E"
2014,"Wholesale & retail buyers, except farm products","131022",16166,2688.07,"$50-60K","F"
2014,"Wholesale & retail buyers, except farm products","131022",12277,2599.58,"$60-70K","G"
2014,"Wholesale & retail buyers, except farm products","131022",6355,1606.54,"$70-80K","H"
2014,"Wholesale & retail buyers, except farm products","131022",4526,1280.95,"$80-90K","I"
2014,"Wholesale & retail buyers, except farm products","131022",3613,1290.24,"$90-100K","J"
2014,"Wholesale & retail buyers, except farm products","131022",3766,1943.34,"$100K-110","K"
2014,"Wholesale & retail buyers, except farm products","131022",1672,1099.76,"$110-120","L"
2014,"Wholesale & retail buyers, except farm products","131022",1470,611.637,"$120-130","M"
2014,"Wholesale & retail buyers, except farm products","131022",750,366.303,"$130-140","N"
2014,"Wholesale & retail buyers, except farm products","131022",730,420.791,"$140-150","O"
2014,"Wholesale & retail buyers, except farm products","131022",899,588.206,"$150-160","P"
2014,"Wholesale & retail buyers, except farm products","131022",252,259.937,"$160-170","Q"
2014,"Wholesale & retail buyers, except farm products","131022",410,353.023,"$170-180","R"
2014,"Wholesale & retail buyers, except farm products","131022",177,187.559,"$190-200K","T"
2014,"Wholesale & retail buyers, except farm products","131022",2216,800.298,"$200K+","U"
2014,"Purchasing agents, except wholesale, retail, & farm products","131023",5712,1321.73,"< 10K","A"
2014,"Purchasing agents, except wholesale, retail, & farm products","131023",13104,2124.99,"$10-20K","B"
2014,"Purchasing agents, except wholesale, retail, & farm products","131023",20054,3089.41,"$20-30K","C"
2014,"Purchasing agents, except wholesale, retail, & farm products","131023",40839,4017.67,"$30-40K","D"
2014,"Purchasing agents, except wholesale, retail, & farm products","131023",50782,4986.76,"$40-50K","E"
2014,"Purchasing agents, except wholesale, retail, & farm products","131023",44865,4288.59,"$50-60K","F"
2014,"Purchasing agents, except wholesale, retail, & farm products","131023",31656,3703.3,"$60-70K","G"
2014,"Purchasing agents, except wholesale, retail, & farm products","131023",22353,2806.39,"$70-80K","H"
2014,"Purchasing agents, except wholesale, retail, & farm products","131023",12984,1946.86,"$80-90K","I"
2014,"Purchasing agents, except wholesale, retail, & farm products","131023",9860,1853.73,"$90-100K","J"
2014,"Purchasing agents, except wholesale, retail, & farm products","131023",9148,1967.96,"$100K-110","K"
2014,"Purchasing agents, except wholesale, retail, & farm products","131023",3936,1390.21,"$110-120","L"
2014,"Purchasing agents, except wholesale, retail, & farm products","131023",3150,1057.63,"$120-130","M"
2014,"Purchasing agents, except wholesale, retail, & farm products","131023",1236,611.789,"$130-140","N"
2014,"Purchasing agents, except wholesale, retail, & farm products","131023",636,402.577,"$140-150","O"
2014,"Purchasing agents, except wholesale, retail, & farm products","131023",1721,809.045,"$150-160","P"
2014,"Purchasing agents, except wholesale, retail, & farm products","131023",1040,978.029,"$160-170","Q"
2014,"Purchasing agents, except wholesale, retail, & farm products","131023",1018,1000.67,"$170-180","R"
2014,"Purchasing agents, except wholesale, retail, & farm products","131023",473,570.741,"$180-190","S"
2014,"Purchasing agents, except wholesale, retail, & farm products","131023",302,274.815,"$190-200K","T"
2014,"Purchasing agents, except wholesale, retail, & farm products","131023",3448,1133.08,"$200K+","U"
2014,"Claims adjusters, appraisers, examiners, & investigators","131030",4296,1246.56,"< 10K","A"
2014,"Claims adjusters, appraisers, examiners, & investigators","131030",10368,2609.18,"$10-20K","B"
2014,"Claims adjusters, appraisers, examiners, & investigators","131030",24172,3672.39,"$20-30K","C"
2014,"Claims adjusters, appraisers, examiners, & investigators","131030",52241,4908.38,"$30-40K","D"
2014,"Claims adjusters, appraisers, examiners, & investigators","131030",53289,4798.33,"$40-50K","E"
2014,"Claims adjusters, appraisers, examiners, & investigators","131030",42442,3965.95,"$50-60K","F"
2014,"Claims adjusters, appraisers, examiners, & investigators","131030",38320,4155.04,"$60-70K","G"
2014,"Claims adjusters, appraisers, examiners, & investigators","131030",25467,3313.78,"$70-80K","H"
2014,"Claims adjusters, appraisers, examiners, & investigators","131030",15117,2236.6,"$80-90K","I"
2014,"Claims adjusters, appraisers, examiners, & investigators","131030",5561,1245.37,"$90-100K","J"
2014,"Claims adjusters, appraisers, examiners, & investigators","131030",5578,1322.66,"$100K-110","K"
2014,"Claims adjusters, appraisers, examiners, & investigators","131030",2020,809.725,"$110-120","L"
2014,"Claims adjusters, appraisers, examiners, & investigators","131030",1362,597.135,"$120-130","M"
2014,"Claims adjusters, appraisers, examiners, & investigators","131030",839,494.157,"$130-140","N"
2014,"Claims adjusters, appraisers, examiners, & investigators","131030",364,267.188,"$140-150","O"
2014,"Claims adjusters, appraisers, examiners, & investigators","131030",1004,515.725,"$150-160","P"
2014,"Claims adjusters, appraisers, examiners, & investigators","131030",176,175.181,"$160-170","Q"
2014,"Claims adjusters, appraisers, examiners, & investigators","131030",135,158.316,"$170-180","R"
2014,"Claims adjusters, appraisers, examiners, & investigators","131030",577,550.236,"$180-190","S"
2014,"Claims adjusters, appraisers, examiners, & investigators","131030",33,55.2032,"$190-200K","T"
2014,"Claims adjusters, appraisers, examiners, & investigators","131030",1875,741.673,"$200K+","U"
2014,"Compliance officers","131041",5380,1497.03,"< 10K","A"
2014,"Compliance officers","131041",7553,1817.21,"$10-20K","B"
2014,"Compliance officers","131041",12889,2629.53,"$20-30K","C"
2014,"Compliance officers","131041",23658,2801.57,"$30-40K","D"
2014,"Compliance officers","131041",26318,3803.2,"$40-50K","E"
2014,"Compliance officers","131041",22726,2900.94,"$50-60K","F"
2014,"Compliance officers","131041",25585,3358.09,"$60-70K","G"
2014,"Compliance officers","131041",20033,2904.07,"$70-80K","H"
2014,"Compliance officers","131041",16340,2946.92,"$80-90K","I"
2014,"Compliance officers","131041",11119,1929.41,"$90-100K","J"
2014,"Compliance officers","131041",8047,1709.79,"$100K-110","K"
2014,"Compliance officers","131041",4718,1118.72,"$110-120","L"
2014,"Compliance officers","131041",5304,1543.27,"$120-130","M"
2014,"Compliance officers","131041",3237,1192.12,"$130-140","N"
2014,"Compliance officers","131041",3924,1070.73,"$140-150","O"
2014,"Compliance officers","131041",1636,772.31,"$150-160","P"
2014,"Compliance officers","131041",1923,786.177,"$160-170","Q"
2014,"Compliance officers","131041",1387,804.585,"$170-180","R"
2014,"Compliance officers","131041",1338,601.249,"$180-190","S"
2014,"Compliance officers","131041",716,489.392,"$190-200K","T"
2014,"Compliance officers","131041",7615,1466.55,"$200K+","U"
2014,"Cost estimators","131051",3836,1182.96,"< 10K","A"
2014,"Cost estimators","131051",5945,1543.82,"$10-20K","B"
2014,"Cost estimators","131051",8148,2000.3,"$20-30K","C"
2014,"Cost estimators","131051",15140,2725.61,"$30-40K","D"
2014,"Cost estimators","131051",19433,3161.4,"$40-50K","E"
2014,"Cost estimators","131051",17836,2853.95,"$50-60K","F"
2014,"Cost estimators","131051",14394,1972.15,"$60-70K","G"
2014,"Cost estimators","131051",12353,2296.84,"$70-80K","H"
2014,"Cost estimators","131051",8470,1444.01,"$80-90K","I"
2014,"Cost estimators","131051",7667,1603.49,"$90-100K","J"
2014,"Cost estimators","131051",6106,1546.9,"$100K-110","K"
2014,"Cost estimators","131051",2530,886.868,"$110-120","L"
2014,"Cost estimators","131051",2651,866.143,"$120-130","M"
2014,"Cost estimators","131051",801,533.064,"$130-140","N"
2014,"Cost estimators","131051",775,481.046,"$140-150","O"
2014,"Cost estimators","131051",729,482.308,"$150-160","P"
2014,"Cost estimators","131051",567,472.812,"$160-170","Q"
2014,"Cost estimators","131051",334,333.674,"$170-180","R"
2014,"Cost estimators","131051",28,46.5596,"$180-190","S"
2014,"Cost estimators","131051",400,387.451,"$190-200K","T"
2014,"Cost estimators","131051",2158,853.3,"$200K+","U"
2014,"Human resources workers","131070",31962,3744.93,"< 10K","A"
2014,"Human resources workers","131070",40469,4425.07,"$10-20K","B"
2014,"Human resources workers","131070",62316,5631.68,"$20-30K","C"
2014,"Human resources workers","131070",111567,5948.85,"$30-40K","D"
2014,"Human resources workers","131070",117478,7590.67,"$40-50K","E"
2014,"Human resources workers","131070",92922,6273.74,"$50-60K","F"
2014,"Human resources workers","131070",75844,5539.75,"$60-70K","G"
2014,"Human resources workers","131070",57800,4962.4,"$70-80K","H"
2014,"Human resources workers","131070",41629,4148.25,"$80-90K","I"
2014,"Human resources workers","131070",29265,3923.2,"$90-100K","J"
2014,"Human resources workers","131070",27347,3637.8,"$100K-110","K"
2014,"Human resources workers","131070",14891,2342.63,"$110-120","L"
2014,"Human resources workers","131070",13235,2271.09,"$120-130","M"
2014,"Human resources workers","131070",6880,1637.6,"$130-140","N"
2014,"Human resources workers","131070",3886,1349.61,"$140-150","O"
2014,"Human resources workers","131070",7697,1752.54,"$150-160","P"
2014,"Human resources workers","131070",3210,878.914,"$160-170","Q"
2014,"Human resources workers","131070",3418,1296.6,"$170-180","R"
2014,"Human resources workers","131070",2670,894.948,"$180-190","S"
2014,"Human resources workers","131070",839,459.351,"$190-200K","T"
2014,"Human resources workers","131070",18613,2561.71,"$200K+","U"
2014,"Logisticians","131081",5689,1353.91,"< 10K","A"
2014,"Logisticians","131081",8239,2066.2,"$10-20K","B"
2014,"Logisticians","131081",11831,2648.0,"$20-30K","C"
2014,"Logisticians","131081",19583,3126.44,"$30-40K","D"
2014,"Logisticians","131081",15278,2054.97,"$40-50K","E"
2014,"Logisticians","131081",15583,2315.45,"$50-60K","F"
2014,"Logisticians","131081",13276,2316.14,"$60-70K","G"
2014,"Logisticians","131081",10489,2318.99,"$70-80K","H"
2014,"Logisticians","131081",4850,1456.16,"$80-90K","I"
2014,"Logisticians","131081",3358,1157.31,"$90-100K","J"
2014,"Logisticians","131081",4425,1297.24,"$100K-110","K"
2014,"Logisticians","131081",2065,882.188,"$110-120","L"
2014,"Logisticians","131081",1519,665.741,"$120-130","M"
2014,"Logisticians","131081",468,395.29,"$130-140","N"
2014,"Logisticians","131081",385,373.014,"$140-150","O"
2014,"Logisticians","131081",311,296.93,"$150-160","P"
2014,"Logisticians","131081",182,176.792,"$160-170","Q"
2014,"Logisticians","131081",237,229.496,"$170-180","R"
2014,"Logisticians","131081",199,200.844,"$180-190","S"
2014,"Logisticians","131081",162,273.353,"$190-200K","T"
2014,"Logisticians","131081",1904,895.644,"$200K+","U"
2014,"Management analysts","131111",27532,2915.0,"< 10K","A"
2014,"Management analysts","131111",32409,3873.68,"$10-20K","B"
2014,"Management analysts","131111",33650,3454.08,"$20-30K","C"
2014,"Management analysts","131111",42448,4916.19,"$30-40K","D"
2014,"Management analysts","131111",59894,5308.52,"$40-50K","E"
2014,"Management analysts","131111",64006,4517.22,"$50-60K","F"
2014,"Management analysts","131111",67887,5823.71,"$60-70K","G"
2014,"Management analysts","131111",56975,4976.06,"$70-80K","H"
2014,"Management analysts","131111",52486,4830.59,"$80-90K","I"
2014,"Management analysts","131111",39412,4108.17,"$90-100K","J"
2014,"Management analysts","131111",43683,4285.05,"$100K-110","K"
2014,"Management analysts","131111",19706,2503.57,"$110-120","L"
2014,"Management analysts","131111",26780,2666.99,"$120-130","M"
2014,"Management analysts","131111",15016,2095.55,"$130-140","N"
2014,"Management analysts","131111",11755,1946.97,"$140-150","O"
2014,"Management analysts","131111",19722,3216.59,"$150-160","P"
2014,"Management analysts","131111",9173,1919.51,"$160-170","Q"
2014,"Management analysts","131111",4071,1282.09,"$170-180","R"
2014,"Management analysts","131111",5355,1306.35,"$180-190","S"
2014,"Management analysts","131111",4291,1239.7,"$190-200K","T"
2014,"Management analysts","131111",48409,3286.61,"$200K+","U"
2014,"Meeting, convention, & event planners","131121",15818,2561.71,"< 10K","A"
2014,"Meeting, convention, & event planners","131121",12490,2277.93,"$10-20K","B"
2014,"Meeting, convention, & event planners","131121",10919,2381.46,"$20-30K","C"
2014,"Meeting, convention, & event planners","131121",19509,2822.52,"$30-40K","D"
2014,"Meeting, convention, & event planners","131121",16720,2307.91,"$40-50K","E"
2014,"Meeting, convention, & event planners","131121",15181,2711.7,"$50-60K","F"
2014,"Meeting, convention, & event planners","131121",10016,2298.93,"$60-70K","G"
2014,"Meeting, convention, & event planners","131121",6361,1536.23,"$70-80K","H"
2014,"Meeting, convention, & event planners","131121",3426,894.572,"$80-90K","I"
2014,"Meeting, convention, & event planners","131121",2436,1014.63,"$90-100K","J"
2014,"Meeting, convention, & event planners","131121",1548,693.992,"$100K-110","K"
2014,"Meeting, convention, & event planners","131121",430,334.405,"$110-120","L"
2014,"Meeting, convention, & event planners","131121",228,236.441,"$120-130","M"
2014,"Meeting, convention, & event planners","131121",201,239.49,"$130-140","N"
2014,"Meeting, convention, & event planners","131121",285,230.741,"$140-150","O"
2014,"Meeting, convention, & event planners","131121",421,330.258,"$150-160","P"
2014,"Meeting, convention, & event planners","131121",73,119.222,"$160-170","Q"
2014,"Meeting, convention, & event planners","131121",91,151.988,"$170-180","R"
2014,"Meeting, convention, & event planners","131121",351,322.003,"$180-190","S"
2014,"Meeting, convention, & event planners","131121",348,358.555,"$200K+","U"
2014,"Fundraisers","131131",8921,1824.39,"< 10K","A"
2014,"Fundraisers","131131",6502,1800.12,"$10-20K","B"
2014,"Fundraisers","131131",6210,1618.35,"$20-30K","C"
2014,"Fundraisers","131131",10752,1807.59,"$30-40K","D"
2014,"Fundraisers","131131",12508,1802.74,"$40-50K","E"
2014,"Fundraisers","131131",12008,2172.13,"$50-60K","F"
2014,"Fundraisers","131131",6345,1489.74,"$60-70K","G"
2014,"Fundraisers","131131",6572,1476.63,"$70-80K","H"
2014,"Fundraisers","131131",6537,1668.9,"$80-90K","I"
2014,"Fundraisers","131131",5186,1314.52,"$90-100K","J"
2014,"Fundraisers","131131",2285,814.173,"$100K-110","K"
2014,"Fundraisers","131131",1183,590.701,"$110-120","L"
2014,"Fundraisers","131131",1737,615.838,"$120-130","M"
2014,"Fundraisers","131131",1369,671.621,"$130-140","N"
2014,"Fundraisers","131131",517,323.476,"$140-150","O"
2014,"Fundraisers","131131",887,665.059,"$150-160","P"
2014,"Fundraisers","131131",775,457.344,"$160-170","Q"
2014,"Fundraisers","131131",61,102.889,"$170-180","R"
2014,"Fundraisers","131131",101,131.773,"$180-190","S"
2014,"Fundraisers","131131",190,224.264,"$190-200K","T"
2014,"Fundraisers","131131",1495,882.382,"$200K+","U"
2014,"Compensation, benefits, & job analysis specialists","131141",1604,1072.85,"< 10K","A"
2014,"Compensation, benefits, & job analysis specialists","131141",1219,548.283,"$10-20K","B"
2014,"Compensation, benefits, & job analysis specialists","131141",3370,1302.38,"$20-30K","C"
2014,"Compensation, benefits, & job analysis specialists","131141",10445,2025.18,"$30-40K","D"
2014,"Compensation, benefits, & job analysis specialists","131141",8876,1736.72,"$40-50K","E"
2014,"Compensation, benefits, & job analysis specialists","131141",7997,2096.06,"$50-60K","F"
2014,"Compensation, benefits, & job analysis specialists","131141",4393,1328.29,"$60-70K","G"
2014,"Compensation, benefits, & job analysis specialists","131141",2681,964.518,"$70-80K","H"
2014,"Compensation, benefits, & job analysis specialists","131141",2048,772.622,"$80-90K","I"
2014,"Compensation, benefits, & job analysis specialists","131141",854,584.103,"$90-100K","J"
2014,"Compensation, benefits, & job analysis specialists","131141",924,496.84,"$100K-110","K"
2014,"Compensation, benefits, & job analysis specialists","131141",221,282.456,"$110-120","L"
2014,"Compensation, benefits, & job analysis specialists","131141",329,325.904,"$120-130","M"
2014,"Compensation, benefits, & job analysis specialists","131141",656,566.943,"$130-140","N"
2014,"Compensation, benefits, & job analysis specialists","131141",121,145.681,"$140-150","O"
2014,"Compensation, benefits, & job analysis specialists","131141",391,323.881,"$150-160","P"
2014,"Compensation, benefits, & job analysis specialists","131141",135,162.011,"$160-170","Q"
2014,"Compensation, benefits, & job analysis specialists","131141",56,95.6819,"$170-180","R"
2014,"Compensation, benefits, & job analysis specialists","131141",75,123.151,"$180-190","S"
2014,"Compensation, benefits, & job analysis specialists","131141",124,151.488,"$200K+","U"
2014,"Training & development specialists","131151",5873,2058.66,"< 10K","A"
2014,"Training & development specialists","131151",8219,1713.84,"$10-20K","B"
2014,"Training & development specialists","131151",10782,1939.49,"$20-30K","C"
2014,"Training & development specialists","131151",18781,3485.61,"$30-40K","D"
2014,"Training & development specialists","131151",19104,2802.61,"$40-50K","E"
2014,"Training & development specialists","131151",14375,2260.78,"$50-60K","F"
2014,"Training & development specialists","131151",15829,2506.91,"$60-70K","G"
2014,"Training & development specialists","131151",9732,1882.19,"$70-80K","H"
2014,"Training & development specialists","131151",7826,1414.17,"$80-90K","I"
2014,"Training & development specialists","131151",4471,1193.14,"$90-100K","J"
2014,"Training & development specialists","131151",4140,1227.36,"$100K-110","K"
2014,"Training & development specialists","131151",1656,672.768,"$110-120","L"
2014,"Training & development specialists","131151",1206,631.023,"$120-130","M"
2014,"Training & development specialists","131151",1077,552.42,"$130-140","N"
2014,"Training & development specialists","131151",611,341.397,"$140-150","O"
2014,"Training & development specialists","131151",992,661.259,"$150-160","P"
2014,"Training & development specialists","131151",553,606.542,"$160-170","Q"
2014,"Training & development specialists","131151",435,290.886,"$170-180","R"
2014,"Training & development specialists","131151",129,156.693,"$180-190","S"
2014,"Training & development specialists","131151",87,140.355,"$190-200K","T"
2014,"Training & development specialists","131151",910,465.509,"$200K+","U"
2014,"Market research analysts & marketing specialists","131161",17154,2760.31,"< 10K","A"
2014,"Market research analysts & marketing specialists","131161",15905,2525.77,"$10-20K","B"
2014,"Market research analysts & marketing specialists","131161",17108,2595.36,"$20-30K","C"
2014,"Market research analysts & marketing specialists","131161",25212,2800.67,"$30-40K","D"
2014,"Market research analysts & marketing specialists","131161",32932,3529.28,"$40-50K","E"
2014,"Market research analysts & marketing specialists","131161",32000,2932.91,"$50-60K","F"
2014,"Market research analysts & marketing specialists","131161",24410,3410.07,"$60-70K","G"
2014,"Market research analysts & marketing specialists","131161",20632,3157.17,"$70-80K","H"
2014,"Market research analysts & marketing specialists","131161",15640,2363.48,"$80-90K","I"
2014,"Market research analysts & marketing specialists","131161",14290,2472.32,"$90-100K","J"
2014,"Market research analysts & marketing specialists","131161",10974,1810.32,"$100K-110","K"
2014,"Market research analysts & marketing specialists","131161",5361,1396.11,"$110-120","L"
2014,"Market research analysts & marketing specialists","131161",9095,1866.81,"$120-130","M"
2014,"Market research analysts & marketing specialists","131161",5070,1388.3,"$130-140","N"
